Country or region,Score,GDP per capita,Social support,Healthy life expectancy
South Africa,4.722,0.96,1.351,0.469
Albania,4.719,0.947,0.848,0.874
Venezuela,4.707,0.96,1.427,0.805
Cambodia,4.7,0.574,1.122,0.637
Palestinian Territories,4.696,0.657,1.247,0.672
Senegal,4.681,0.45,1.134,0.571
Somalia,4.668,0,0.698,0.268
Namibia,4.639,0.879,1.313,0.477
Niger,4.628,0.138,0.774,0.366
Burkina Faso,4.587,0.331,1.056,0.38
Armenia,4.559,0.85,1.055,0.815
Iran,4.548,1.1,0.842,0.785
Guinea,4.534,0.38,0.829,0.375
Georgia,4.519,0.886,0.666,0.752
Gambia,4.516,0.308,0.939,0.428
Kenya,4.509,0.512,0.983,0.581
Mauritania,4.49,0.57,1.167,0.489
Mozambique,4.466,0.204,0.986,0.39
Tunisia,4.461,0.921,1,0.815
Bangladesh,4.456,0.562,0.928,0.723
Iraq,4.437,1.043,0.98,0.574
Congo (Kinshasa),4.418,0.094,1.125,0.357
Mali,4.39,0.385,1.105,0.308
Sierra Leone,4.374,0.268,0.841,0.242
Sri Lanka,4.366,0.949,1.265,0.831
Myanmar,4.36,0.71,1.181,0.555
Chad,4.35,0.35,0.766,0.192
Ukraine,4.332,0.82,1.39,0.739
Ethiopia,4.286,0.336,1.033,0.532
Swaziland,4.212,0.811,1.149,0
Uganda,4.189,0.332,1.069,0.443
Egypt,4.166,0.913,1.039,0.644
Zambia,4.107,0.578,1.058,0.426
Togo,4.085,0.275,0.572,0.41
India,4.015,0.755,0.765,0.588
Liberia,3.975,0.073,0.922,0.443
Comoros,3.973,0.274,0.757,0.505
Madagascar,3.933,0.274,0.916,0.555
Lesotho,3.802,0.489,1.169,0.168
Burundi,3.775,0.046,0.447,0.38
Zimbabwe,3.663,0.366,1.114,0.433
Haiti,3.597,0.323,0.688,0.449
Botswana,3.488,1.041,1.145,0.538
Syria,3.462,0.619,0.378,0.44
Malawi,3.41,0.191,0.56,0.495
Yemen,3.38,0.287,1.163,0.463
Rwanda,3.334,0.359,0.711,0.614
Tanzania,3.231,0.476,0.885,0.499
Afghanistan,3.203,0.35,0.517,0.361
Central African Republic,3.083,0.026,0,0.105
South Sudan,2.853,0.306,0.575,0.295
