Country or region,Freedom to make life choices,Generosity,Perceptions of corruption,Score,GDP per capita,Social support,Healthy life expectancy,Overall rank
Palestinian Territories,0.225,0.103,0.066,4.696,0.657,1.247,0.672,110
Senegal,0.292,0.153,0.072,4.681,0.45,1.134,0.571,111
Somalia,0.559,0.243,0.27,4.668,0,0.698,0.268,112
Namibia,0.401,0.07,0.056,4.639,0.879,1.313,0.477,113
Niger,0.318,0.188,0.102,4.628,0.138,0.774,0.366,114
Burkina Faso,0.255,0.177,0.113,4.587,0.331,1.056,0.38,115
Armenia,0.283,0.095,0.064,4.559,0.85,1.055,0.815,116
Iran,0.305,0.27,0.125,4.548,1.1,0.842,0.785,117
Guinea,0.332,0.207,0.086,4.534,0.38,0.829,0.375,118
Georgia,0.346,0.043,0.164,4.519,0.886,0.666,0.752,119
Gambia,0.382,0.269,0.167,4.516,0.308,0.939,0.428,120
Kenya,0.431,0.372,0.053,4.509,0.512,0.983,0.581,121
Mauritania,0.066,0.106,0.088,4.49,0.57,1.167,0.489,122
Mozambique,0.494,0.197,0.138,4.466,0.204,0.986,0.39,123
Tunisia,0.167,0.059,0.055,4.461,0.921,1,0.815,124
Bangladesh,0.527,0.166,0.143,4.456,0.562,0.928,0.723,125
Iraq,0.241,0.148,0.089,4.437,1.043,0.98,0.574,126
Congo (Kinshasa),0.269,0.212,0.053,4.418,0.094,1.125,0.357,127
Mali,0.327,0.153,0.052,4.39,0.385,1.105,0.308,128
Sierra Leone,0.309,0.252,0.045,4.374,0.268,0.841,0.242,129
Sri Lanka,0.47,0.244,0.047,4.366,0.949,1.265,0.831,130
Myanmar,0.525,0.566,0.172,4.36,0.71,1.181,0.555,131
Chad,0.174,0.198,0.078,4.35,0.35,0.766,0.192,132
Ukraine,0.178,0.187,0.01,4.332,0.82,1.39,0.739,133
Ethiopia,0.344,0.209,0.1,4.286,0.336,1.033,0.532,134
Swaziland,0.313,0.074,0.135,4.212,0.811,1.149,0,135
Uganda,0.356,0.252,0.06,4.189,0.332,1.069,0.443,136
Egypt,0.241,0.076,0.067,4.166,0.913,1.039,0.644,137
Zambia,0.431,0.247,0.087,4.107,0.578,1.058,0.426,138
Togo,0.293,0.177,0.085,4.085,0.275,0.572,0.41,139
India,0.498,0.2,0.085,4.015,0.755,0.765,0.588,140
Liberia,0.37,0.233,0.033,3.975,0.073,0.922,0.443,141
Comoros,0.142,0.275,0.078,3.973,0.274,0.757,0.505,142
Madagascar,0.148,0.169,0.041,3.933,0.274,0.916,0.555,143
Lesotho,0.359,0.107,0.093,3.802,0.489,1.169,0.168,144
Burundi,0.22,0.176,0.18,3.775,0.046,0.447,0.38,145
Zimbabwe,0.361,0.151,0.089,3.663,0.366,1.114,0.433,146
Haiti,0.026,0.419,0.11,3.597,0.323,0.688,0.449,147
Botswana,0.455,0.025,0.1,3.488,1.041,1.145,0.538,148
Syria,0.013,0.331,0.141,3.462,0.619,0.378,0.44,149
Malawi,0.443,0.218,0.089,3.41,0.191,0.56,0.495,150
Yemen,0.143,0.108,0.077,3.38,0.287,1.163,0.463,151
Rwanda,0.555,0.217,0.411,3.334,0.359,0.711,0.614,152
Tanzania,0.417,0.276,0.147,3.231,0.476,0.885,0.499,153
Afghanistan,0,0.158,0.025,3.203,0.35,0.517,0.361,154
Central African Republic,0.225,0.235,0.035,3.083,0.026,0,0.105,155
South Sudan,0.01,0.202,0.091,2.853,0.306,0.575,0.295,156
